ID,PredictedProb
0,0.379333333333
1,0.912654751151
2,0.766666666667
7,0.580206349206
10,0.785020449898
11,0.672002910866
13,0.940833333333
14,0.634333333333
15,0.98
16,0.874924155936
17,0.75177110918
18,0.711666666667
19,0.941666666667
20,0.848333333333
25,0.925
26,0.774956043956
29,0.694333333333
38,0.955
41,0.923604575163
44,0.676081412782
45,0.351666666667
47,0.741666666667
48,0.555
49,0.883313656297
50,0.728811313604
53,0.421372997066
56,0.548588744589
59,0.861666666667
60,0.748214285714
64,0.781219262407
65,0.995
66,0.756583333333
68,0.851482352941
69,0.76645059492
70,0.91
71,0.75143150191
72,0.510850810639
76,0.848333333333
80,0.707955304936
82,0.673333333333
83,0.91
85,0.915162753843
86,0.832723577236
87,0.764829443079
89,0.851357419462
97,0.790952380952
99,0.654925136651
101,0.785506383949
102,0.167210884354
103,0.669791666667
104,0.469778126823
106,0.931666666667
107,0.683333333333
109,0.913333333333
111,0.525706123482
113,0.902142857143
114,0.615017623258
118,0.89637254902
119,0.651066188028
120,0.888333333333
123,0.683816384841
128,0.199166666667
129,0.859
131,0.911666666667
133,0.647175925926
134,0.796666666667
136,0.97
137,0.75201415657
139,0.772924275724
140,0.94
142,0.753768701646
144,0.746909090909
146,0.901949685535
147,0.684133917176
148,0.94265820714
150,0.276578947368
151,0.201666666667
152,0.961666666667
155,0.996666666667
158,0.848981060606
159,0.670387319594
160,0.961666666667
161,0.632135219247
165,0.937948717949
166,0.375799426728
170,0.913333333333
171,0.76271043771
174,0.711300664452
175,0.68
179,0.755318569155
180,0.915256410256
181,0.893333333333
184,0.772802495369
185,0.432142857143
187,0.851268267964
188,0.798333333333
190,0.780642319901
191,0.571022296544
192,0.661567172933
193,0.863380062305
196,0.880833333333
197,0.588536892734
198,0.701526297408
205,0.208333333333
211,0.829683928077
213,0.746666666667
214,0.887840873271
217,0.619192052513
218,0.828894736842
221,0.666703310277
222,0.522300282485
225,0.808526785714
229,0.763333333333
236,0.684834125858
